g,r,i,z,y_true,y_argus,y_attnnet
20.50004406342466,19.246192276423344,18.80359179247207,18.488472487982566,0,0.062222715467214584,0.0003225459367968142
18.420716165538273,17.997402453913068,17.71418219488263,17.625719081490274,0,0.9999980926513672,0.9999780654907227
20.681089277703364,19.656608384585866,19.268987485904127,19.03810382036582,0,0.9999959468841553,0.799547016620636
19.35171025373357,18.17506460166602,17.756201269610784,17.029282445424137,0,0.4612134099006653,0.08199324458837509
18.151930226544604,17.744430512172755,17.476386538126302,17.42847291244713,0,0.9999980926513672,0.9999662637710571
21.121934481560658,19.636251790911587,18.690937613418804,18.203205347290215,0,0.01573878526687622,0.33666592836380005
19.670097770726645,18.25570812222295,17.520649722017033,17.202111423598623,0,0.9999901056289673,0.9998607635498047
19.54413169068959,18.483242115284142,18.1348887350999,17.863255896654795,0,0.9999978542327881,0.9999494552612305
20.70887432450219,22.356521197379728,21.219504740311894,18.521920971871115,0,4.840760539082112e-06,0.9916783571243286
inf,20.150951449698358,27.772795025834665,inf,0,0.011136576533317566,0.9997292160987854
19.871240281575368,18.811459098837833,18.349133874006377,18.080899561700768,0,0.9999735355377197,0.9965925812721252
18.87532889858175,18.057963600361532,17.351623005648953,16.90591193114531,0,0.0031968913972377777,0.00010399076563771814
18.95606851638138,19.25534097169148,18.73972786828162,19.197802291727584,0,0.9999979734420776,0.9999866485595703
20.755891438553633,19.78762595377236,19.365327005835095,19.083169532319875,0,0.9998846054077148,0.9993189573287964
19.552511640061265,18.16551914025522,17.676181086052722,17.37798936943931,0,0.9997696280479431,0.4610622227191925
17.538070195375912,17.21339312649522,16.897775374452596,16.89711038462264,0,0.9999980926513672,0.9999855756759644
19.713087825192822,19.010074680317427,18.651125816631016,18.289015207372877,0,0.061145905405282974,0.015199430286884308
20.30512875895314,19.29058653181502,18.518691130708575,18.15172057203958,0,0.9997788071632385,0.9248377084732056
20.800128635567816,19.281242069249473,17.988659561442496,17.458237381084622,0,0.08062959462404251,8.738025644561276e-05
20.04428988830204,19.323838359810537,19.094142420768694,18.89382400347711,0,0.9999979734420776,0.9999741315841675
21.148340320339084,19.698401642714817,18.51877112024255,18.045609740724352,0,4.528778845269699e-06,4.1092502215178683e-05
inf,20.074123841276396,17.837765561707528,inf,0,0.9999861717224121,0.3108055293560028
21.28825991764898,19.786158116401193,18.719312527594205,18.225245918546033,0,0.9961469173431396,0.00017868381110019982
21.835722057817378,20.416346940471538,18.99779238238037,18.39508577447436,0,0.9998797178268433,0.999915599822998
22.07001095140673,20.474397368131527,18.389212472695295,17.408083456069992,0,2.301765744050499e-05,0.018821656703948975
19.822526846767854,18.574999756272213,18.244288510177967,17.886718465550665,0,0.9999895095825195,0.9979652166366577
21.891734982174885,20.250527600802105,18.671175729588064,17.994621067501754,0,0.9951940178871155,0.6637085676193237
20.595042006498357,19.381979914574746,18.920535996314168,18.570055115347287,0,0.11177941411733627,0.001121962326578796
19.632856609062358,18.864971437602758,18.485017238141126,18.11078990975835,0,0.9924600720405579,0.7194878458976746
19.47552728796262,18.13287210448655,17.339342723263158,16.975739546742226,0,0.0010391055839136243,3.55028168996796e-05
20.957087018767474,19.49830042474945,18.220378168124366,17.666494353346224,0,0.007693157065659761,4.1933406464522704e-05
20.68288104022135,19.71749580969592,19.141032179784194,18.75488173284645,0,0.3098686933517456,0.0004947800771333277
21.368112372726262,19.913132252927955,19.222629177365718,18.86462431751565,0,0.0009753063204698265,7.163345435401425e-05
20.185133267392764,19.844614392521862,19.570779260391205,19.488955379311612,0,0.9999978542327881,0.9999611377716064
20.77265609344729,19.297201436644265,18.380060137463825,17.931889016454797,0,3.8051373394409893e-06,4.186999285593629e-05
16.728924559128224,16.100195583114136,15.804045817185468,15.62340531696311,0,0.9999887943267822,0.7165006399154663
18.851262721489316,17.814992472719005,17.404234784052,17.10551194887946,0,0.011963291093707085,0.00038174851215444505
18.919634508957003,18.274539748103773,17.91209588354856,17.832007544011983,0,0.9999979734420776,0.9999845027923584
20.441767452948262,18.98846962127113,18.58309793088938,18.340708127647176,0,0.012862494215369225,0.015242557972669601
21.358684694681543,20.245827173097865,19.747323467539605,19.46916430791824,0,0.018941588699817657,0.06671110540628433
20.05069480937725,18.730882161149438,18.056665701582006,17.627807809354444,0,0.05475461483001709,7.171978359110653e-05
19.257037395190984,18.585911765166127,18.1796290445457,17.980174003249985,0,0.999990701675415,0.9795935153961182
21.42394000144491,19.955842957373683,18.636709372076112,18.064169364103893,0,0.8867455124855042,0.9828470945358276
20.128094988684392,18.761678309873904,18.10023420842681,17.74254989428563,0,0.20925430953502655,0.0007499029161408544
20.41749995841883,18.9386389663097,18.05620653657877,17.68102398427204,0,0.9999845027923584,0.9999092817306519
21.383115222405728,19.98175433474568,18.8794247161047,18.41205696233478,0,0.00028281251434236765,0.00025980296777561307
20.181450399034688,19.20106037140105,18.583603043234177,18.067710124189595,0,0.9999862909317017,0.9999773502349854
