g,r,i,z,y_true,y_argus,y_attnnet
22.103649139404297,20.496606826782227,19.858448028564453,19.45979118347168,0.0,0.0005594914546236396,5.13097365910653e-05
21.93426513671875,20.303434371948242,19.17686653137207,18.676834106445312,0.0,0.006071839015930891,3.761154584935866e-05
18.88199806213379,18.64212989807129,18.481264114379883,18.43172836303711,0.0,0.999794065952301,0.9999477863311768
20.00528335571289,19.863262176513672,19.75151252746582,19.712453842163086,0.0,0.999993085861206,0.9999700784683228
18.13076400756836,17.687705993652344,17.406917572021484,17.360254287719727,1.0,0.999996542930603,0.9999825954437256
22.214059829711914,21.43423843383789,20.792144775390625,20.51384735107422,0.0,4.5316468458622694e-05,3.6383447877597064e-05
20.321369171142578,19.71070098876953,19.339174270629883,19.20383071899414,1.0,0.9999943971633911,0.9999858140945435
19.35550880432129,18.78399085998535,18.44126319885254,18.31513786315918,1.0,0.9999972581863403,0.9999852180480957
21.526933670043945,19.744909286499023,18.784955978393555,18.35443115234375,1.0,0.0265993420034647,0.04289163649082184
19.350570678710938,19.07802963256836,18.849021911621094,18.807621002197266,0.0,0.9999959468841553,0.9999810457229614
16.781333923339844,16.025053024291992,15.676855087280273,15.785995483398438,1.0,0.9999890327453613,0.9999836683273315
20.558086395263672,18.95264434814453,18.479389190673828,18.256298065185547,1.0,0.999980092048645,0.9999892711639404
15.308455467224121,15.0,15.0,15.0,1.0,0.9999891519546509,0.9999853372573853
21.414695739746094,19.67728042602539,18.981964111328125,18.622190475463867,0.0,0.0006688259891234338,3.4103690268239006e-05
19.775135040283203,19.171161651611328,18.9233341217041,18.63549041748047,0.0,0.9992426633834839,0.9770287871360779
15.978656768798828,15.48344612121582,15.167139053344727,15.212544441223145,1.0,0.9999929666519165,0.9999368190765381
21.648021697998047,20.82891273498535,20.237634658813477,19.986825942993164,0.0,0.00012218741176184267,3.849008135148324e-05
21.007118225097656,20.638334274291992,20.284645080566406,20.01156997680664,1.0,0.9999951124191284,0.9999786615371704
20.571043014526367,20.308347702026367,20.16260528564453,20.129844665527344,0.0,0.9999959468841553,0.9999792575836182
22.18089485168457,20.46982192993164,19.493026733398438,19.046669006347656,0.0,3.928544538212009e-05,3.211145303794183e-05
19.2888240814209,18.73046875,18.438831329345703,18.369781494140625,1.0,0.9999958276748657,0.9999837875366211
22.650005340576172,21.132150650024414,20.044097900390625,19.565200805664062,0.0,0.0002287045936100185,3.132806159555912e-05
19.04717254638672,18.52037239074707,18.188316345214844,18.129905700683594,1.0,0.9999967813491821,0.9999808073043823
19.60427474975586,19.35967254638672,19.156023025512695,19.027572631835938,0.0,0.9999772310256958,0.9999743700027466
18.13336181640625,17.684328079223633,17.375225067138672,17.336713790893555,1.0,0.9999971389770508,0.9999833106994629
22.171070098876953,21.278854370117188,20.567230224609375,20.273086547851562,0.0,3.15573561238125e-05,3.032325184904039e-05
19.54144287109375,19.305927276611328,19.11429214477539,19.04497528076172,0.0,0.8502585887908936,0.9999277591705322
20.273971557617188,19.800748825073242,19.359405517578125,19.16903305053711,1.0,0.9999947547912598,0.9999836683273315
20.26592254638672,19.724571228027344,19.276960372924805,19.092485427856445,1.0,0.9999910593032837,0.9999465942382812
20.08077621459961,18.750362396240234,18.252525329589844,17.957496643066406,1.0,0.9958125948905945,0.999894380569458
22.902320861816406,21.528003692626953,20.426910400390625,19.98348617553711,0.0,8.44180176500231e-05,3.616148387663998e-05
19.193748474121094,19.058975219726562,19.720205307006836,19.479713439941406,1.0,0.9999955892562866,0.8963724970817566
19.24949836730957,18.499929428100586,18.12847900390625,17.922725677490234,0.0,0.9998911619186401,0.9999383687973022
19.341564178466797,19.20806884765625,19.071022033691406,19.030689239501953,0.0,0.9999936819076538,0.9999301433563232
17.700790405273438,16.881683349609375,16.58157730102539,16.396894454956055,1.0,0.9999923706054688,0.9999865293502808
21.49250030517578,20.72329330444336,20.133037567138672,19.885107040405273,0.0,0.03412006050348282,3.406455653021112e-05
19.83241081237793,19.48479652404785,19.142223358154297,19.016502380371094,1.0,0.9999946355819702,0.9999866485595703
20.644939422607422,20.52281951904297,20.38689422607422,20.2889404296875,0.0,0.9999939203262329,0.9999768733978271
21.594776153564453,20.823780059814453,20.250972747802734,19.99753761291504,0.0,0.00011942113633267581,3.5284643672639504e-05
20.407657623291016,19.817768096923828,19.35037612915039,19.132652282714844,1.0,0.9999951124191284,0.9999809265136719
19.976856231689453,19.3747615814209,19.32337188720703,18.783288955688477,1.0,0.9999710321426392,0.9992833733558655
18.54244613647461,17.17107582092285,16.998027801513672,16.971752166748047,1.0,0.9999902248382568,0.9999834299087524
20.508617401123047,20.311880111694336,20.09522819519043,19.992656707763672,0.0,0.9999927282333374,0.9999817609786987
22.554729461669922,21.74897003173828,21.01342010498047,20.757415771484375,0.0,2.4826294975355268e-05,6.069369919714518e-05
20.79552459716797,20.362640380859375,20.01200294494629,19.776142120361328,0.0,0.9954930543899536,0.0009904417674988508
20.318376541137695,20.166664123535156,19.98690414428711,19.876081466674805,0.0,0.9999899864196777,0.9999805688858032
20.310935974121094,19.82990264892578,19.376564025878906,19.181556701660156,1.0,0.9999953508377075,0.9999840259552002
19.97321891784668,19.959657669067383,20.05666732788086,19.95437240600586,1.0,0.9999967813491821,0.9999878406524658
17.858495712280273,17.41510009765625,17.045434951782227,16.926998138427734,1.0,0.9999972581863403,0.9999828338623047
